lane,source_champion,source_slug,source_page_win_rate,opponent_champion,opponent_slug,win_rate,games,url,scraped_at_utc
support,Milio,milio,51.54,Ashe,ashe,58.70,385,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Bard,bard,49.50,3378,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Blitzcrank,blitzcrank,48.01,3068,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Brand,brand,50.29,1199,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Braum,braum,48.76,4725,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Elise,elise,49.66,439,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Fiddlesticks,fiddlesticks,50.35,282,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Janna,janna,49.24,2512,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Karma,karma,50.82,5447,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,LeBlanc,leblanc,57.46,181,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Leona,leona,51.50,3210,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Lulu,lulu,50.42,7190,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Lux,lux,52.29,1924,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Maokai,maokai,50.12,864,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Mel,mel,61.69,569,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Morgana,morgana,54.61,2115,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Nami,nami,49.86,11305,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Nautilus,nautilus,50.16,4266,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
support,Milio,milio,51.54,Neeko,neeko,49.89,1309,https://op.gg/lol/champions/milio/counters/support,2026-02-13T18:24:50.938981+00:00
